name,description,model,chassis,type,year,price,image,manufacturer_id,mechanical_details.engine,mechanical_details.cylinders,mechanical_details.fuel,mechanical_details.mileage,mechanical_details.transmission,mechanical_details.drivetrain,body_details.trim,body_details.doors,body_details.exterior_color,body_details.interior_color
Hyundai Tucson Hybrid Blue,"$1,711 off MSRP! Blue I4. 38/38 City/Highway MPG Price includes: $1000 - Retail Bonus Cash. Exp. 06/03/2024",Tucson Hybrid,SUV,New,2024,33089.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17979,16V GDI DOHC Turbo Hybrid,4,Hybrid,25.0,6-Speed Automatic,All-wheel Drive,Blue,4,Amazon Gray,Gray
Dodge Charger Scat Pack,"Heated Seats, Moonroof, Onboard Communications System, iPod/MP3 Input, Satellite Radio, Back-Up Camera, POWER SUNROOF, ENGINE: 6.4L V8 SRT HEMI MDS, TRANSMISSION: 8-SPEED AUTOMATIC (8HP7... harman/kardon® AUDIO GROUP, TECHNOLOGY GROUP, PLUS GROUP, Aluminum Wheels. B5 Blue Pearlcoat exterior and Black interior. Warranty 5 yrs/60k Miles - Drivetrain Warranty; OPTION PACKAGESPLUS GROUP Power Tilt/Telescope Steering Column, Blind Spot Memory/Power/Heat Mirror, Blind Spot & Cross Path Detection, Black-Edged Premium Floormats, Exterior Mirrors Courtesy Lamps, Premium-Stitched Dash Panel, Locking Lug Nuts, Exterior Mirrors w/Heating Element, Auto Dim Exterior Driver Mirror, Driver & Passenger Lower LED Lamps, Auto Adjust In Reverse Exterior Mirrors, Front Overhead LED Lighting, harman/kardon® AUDIO GROUP 19 harman/kardon® GreenEdge Speakers, Surround Sound, harman/kardon® GreenEdge Amp, POWER SUNROOF, TECHNOLOGY GROUP Advanced Brake Assist, Auto High Beam Headlamp Control, Rain Sensitive Windshield Wipers, Adaptive Cruise Control w/Stop, Full Speed FWD Collision Warn Plus, Lane Departure Warning Plus, TRANSMISSION: 8-SPEED AUTOMATIC (8HP70) (STD), ENGINE: 6.4L V8 SRT HEMI MDS (STD). KEY FEATURES INCLUDEHeated Driver Seat, Back-Up Camera, Satellite Radio, iPod/MP3 Input, Onboard Communications System Dodge Scat Pack with B5 Blue Pearlcoat exterior and Black interior features a 8 Cylinder Engine with 485 HP at 6100 RPM. BUY FROM AN AWARD WINNING DEALERAt Allen Samuels of Jackson, were right on the bypass, right on the price! We may be new in Jackson, but weve been making friends in the car business for over 50 years. With our extensive inventory, multiple finance options and professional sales staff, were sure to get you in the right vehicle without all the hassle. Come by, lets be friends. Horsepower calculations based on trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase. 
      
    Please contact us for more information regarding local delivery.",Charger,Sedan,New,2023,65075.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe17975,16V MPFI OHV,8,Gasoline,18.0,8-Speed Automatic,Rear-wheel Drive,Scat Pack,4,Blue,Black
Jeep Grand Cherokee 4xe 4x4,"It is my personal goal to make this process enjoyable, informative and stress-free. Falvey's ""You're Gonna Love It"" Always the Best Selection, Best Price and Best Experience!",Grand Cherokee 4xe,SUV,New,2024,58235.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,3.0,Automatic,Four-wheel Drive,4x4,4,Midnight Sky,Global Black
Chevrolet Equinox LS,"Summit White 2024 Chevrolet Equinox LS FWD 6-Speed Automatic Electronic with Overdrive 1.5L DOHC 17'' Aluminum Wheels, 2 Rear USB Charging-Only Ports, 2 USB Ports & Auxiliary Input Jack, 3.50 Final Drive Axle Ratio, 4-Wheel Disc Brakes, 6 Speakers, 6-Speaker Audio System Feature, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto High-beam Headlights, Bluetooth® For Phone, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver 4-Way Manual Seat Adjuster, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: OnStar and Chevrolet connected services capable, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front Passenger 4-Way Manual Seat Adjuster, Front reading lights, Fully automatic headlights, Heated door mirrors, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Preferred Equipment Group 1LS, Premium audio system: Chevrolet Infotainment 3, Premium Cloth Seat Trim, Radio data system, Radio: Chevrolet Infotainment 3 System w/AM/FM, Rear anti-roll bar, Rear reading lights, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Remote Start, Security system, SiriusXM, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers.26/31 City/Highway MPG Price includes: $1000 - GM Bonus Cash. Exp. 06/03/2024 $500 - Chevrolet Consumer Cash Program. Exp. 06/03/2024",Equinox,SUV,New,2024,25515.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797a,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,8.0,6-Speed Automatic Electronic with Overdrive,Front-wheel Drive,LS,4,Summit White,Medium Ash Gray
Jeep Wrangler 4xe Rubicon,"2.0L I4 DOHC.Rubicon 4xe2.0L I4 DOHC 8-Speed Automatic Price includes: $3000 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 06/03/2024For over 85 years, Carbone Auto Group is the name you know and the name you can trust.  At Carbone Chrysler, Dodge, Jeep, Ram of Yorkville the focus has remained the same.  Offer a full line of Award Winning Vehicles, Showcase Special purchase programs, Value for your trade-in, area leading service and parts with award winning customer services. Experience the Carbone difference today!",Wrangler 4xe,SUV,New,2024,66960.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,16V GDI DOHC Turbo Hybrid,4,Hybrid,5.0,8-Speed Automatic,Four-wheel Drive,Rubicon,4,Earl Clearcoat,Black
Mazda CX-90 PHEV Base,Rhodium White Premium 2024 Mazda CX-90 PHEV Preferred AWD 8-Speed Automatic 2.5L I4 DOHC 16V LEV3-SULEV30,CX-90 PHEV,SUV,New,2024,53395.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797e,"TIV-G 2.5L I-4 gasoline direct injection, DOHC, variable",4,Gasoline,5.0,8-Speed Automatic,All-wheel Drive,Base,4,Rhodium White Premium,Greige
RAM ProMaster 2500 High Roof,"This 2024 Ram ProMaster 2500 comes equipped with. FWD 9-Speed 948TE Automatic 3.6L V6 24V VVT High Roof Bright White Clearcoat All pricing excludes tax, tag, license fees, dealers $129 documentary fee, and $1,995 in dealer-added accessories. Pricing subject to change please see dealer for exact pricing.
      
    We are a new and used car, truck and SUV dealer located in the new ORR Auto Park in Searcy, AR. We welcome everybody in ORR GM SuperStore where you will find the best sales and service crew in North East Arkansas! Take that short drive from Little Rock and find a hometown dealership that will earn your business.",ProMaster 2500,Van,New,2024,53272.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe17976,24V MPFI DOHC,6,Gasoline,1.0,9-Speed Automatic,Front-wheel Drive,High Roof,3,Bright White Clearcoat,Black
Lincoln Corsair Reserve,"2024 Lincoln Corsair 4D Sport Utility Reserve 2.0L I4 AWD Navigation/Nav/GPSHeated/Cooled Captain's ChairsHeated Steering WheelAdaptive Cruise ControlLane Keep AssistLane Departure WarningPanoramic Vista RoofPower Moonroof/SunroofRemote StartBlind Spot Monitoring SystemRear View CameraSatellite Radio360 CameraHands Free LiftgateReverse Sensing SystemApple Carplay / Android AutoWireless Apple Carplay/Android AutoInfinite Black Metallic ExteriorPremium Leather Ebony Interior At Eide Lincoln, we have been in business since 1981 and are locally owned and operated. We have an excellent selection of new Lincoln products. We would also love to have your trade! We will give you Fair Market Trade Value for your vehicle. Want to know what your trade is worth? Use the KBB Instant Cash Offer feature on our website to receive a guaranteed value for your vehicle! We also offer convenient service hours during the week and all day Saturday plus we have a dedicated Diesel Repair Facility & Collision Center. We are very serious about your satisfaction and our aim is to make your experience with us Simple, Fast & Fun. $1000 - Trade-In Discount. Exp. 06/01/2024, Trade vehicle must be 95 or newer. See Sales for details.
      
    When you're in the market for a car or truck, you want an easy, hassle-free experience that results in a purchase you can be proud of. This is the driving principle behind our mission statement: Create a lifetime customer by providing excellent products and customer service. Live by the motto of transparency and make the process of doing business Simple, Fast and Fun.",Corsair,SUV,New,2024,51361.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17987,16V GDI DOHC Turbo,4,Gasoline,3.0,8-Speed Automatic,All-wheel Drive,Reserve,4,Infinite Black Metallic,Ebony
Chrysler Pacifica Hybrid Select,Buy with confidence knowing Voyles Chrysler Dodge Jeep Ram has been exceeding customer expectations for many years and will always provide customers with a great value!,Pacifica Hybrid,Van,New,2024,60600.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe1797c,24V MPFI DOHC Hybrid,6,Hybrid,10.0,Automatic CVT,Front-wheel Drive,Select,4,Bright White Clearcoat,Black
Nissan Altima 2.5 SV,"Doggett Nissan is proud to present you with another True Market Priced Vehicle. This 2024 Nissan Altima 2.5 SV is loaded with the following Factory Options: SV Premium Package (2-Way Driver Power Lumbar Support, Active Ride Control (ARC), Body-Color Outside Mirrors, Center Console Side Panel Stitched/Padded, Driver & Passenger Sun Visors Light, Electronic Parking Brake w/Auto-Hold, Exhaust Finishers, Heated Front Seats, Intelligent Cruise Control w/Full Spd Range & Hold, Intelligent Lane Intervention (I-LI), Intelligent Trace Control (I-TC), Leather Shift Knob, NissanConnect, Premium Interior Finishers, ProPILOT Assist, Single Panel Moonroof, Steering Assist, Traffic Sign Recognition, and Wrapped & Stitched Steering Wheel), 17 Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto High-beam Headlights, Blind Spot Warning, Body-Colored Splash Guards, Brake assist, Bumpers: body-color, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Floor Mats/Trunk Mat/Hideaway Net, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Fully automatic headlights, Illuminated entry, Knee airbag, Low tire pressure warning, NissanConnect featuring Apple CarPlay, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power steering, Power windows, Radio data system, Radio: AM/FM Audio System, Rear anti-roll bar, Rear Parking Sensors, Rear reading lights, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Trunk Organizer Tray, USB Charging Cable Set - Nissan, and Variably intermittent wipers!!",Altima,Sedan,New,2024,31225.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe17977,16V GDI DOHC,4,Gasoline,6.0,Automatic CVT,Front-wheel Drive,2.5 SV,4,Black,Charcoal
Hyundai Sonata Hybrid SEL,Portofino Gray 2024 Hyundai Sonata Hybrid SEL FWD 6-Speed Automatic with Shiftronic I4 Recent Arrival! 44/51 City/Highway MPG,Sonata Hybrid,Sedan,New,2024,32520.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe17979,16V GDI DOHC Hybrid,4,Hybrid,11.0,6-Speed Automatic,Front-wheel Drive,SEL,4,Portofino Gray,Gray
Dodge Hornet GT AWD,"CALL 239-424-7514 to set up a VIP APPOINTMENT!.2024 Dodge Hornet GT Gray Cray AWD 9-Speed 948TE Automatic 2.0L I4 DOHCCape Coral Chrysler Dodge Jeep Ram wants to be your dealer. With the friendliest staff is Southwest Florida, the newest state of the art facility, 52 bays of service, 5 service lanes, automated car wash, free refreshments, and over 40 banks to get you the best deals possible on your new vehicle. Call Cape Coral Chrysler Dodge Jeep Ram for all your automotive needs or with any questions about our listings.21/29 City/Highway MPG Price includes: $500 - 2024 DJR National Retail Consumer Cash 24CR1
      
    Cape Coral CDJR provides you a world class client experience.  With the friendliest staff in Southwest Florida, and over 4,000 vehicles in stock and available, you'll always find what you need to fit into your budget.  Find us on Pine Island Road.",Hornet,SUV,New,2024,36532.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,14.0,9-Speed 948TE Automatic,All-wheel Drive,GT AWD,4,Gray Cray,Black
Jeep Grand Cherokee 4xe Anniversary Edition,"It is my personal goal to make this process enjoyable, informative and stress-free. Falvey's ""You're Gonna Love It"" Always the Best Selection, Best Price and Best Experience!",Grand Cherokee 4xe,SUV,New,2024,61506.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,3.0,Automatic,Four-wheel Drive,Anniversary Edition,4,Silver Zynith,Global Black
Dodge Hornet Hornet Gt Awd,"Come see how our family can make the difference in your families next car buying experience !!! For these low prices, Please Contact Dave Or you can always view our entire inventory at   www.fresnochrysler.com",Hornet,SUV,New,2024,35480.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,"ne 2L I-4 gasoline direct injection, DOHC, variable valve",4,Gasoline,0.0,Automatic,All-wheel Drive,Hornet Gt Awd,4,Hot Tamale,Black
Jeep Wrangler 4xe Sport S,The prices shown above may vary from region to region as new vehicle incentives may depend on buyer's residence.,Wrangler 4xe,SUV,New,2024,54835.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,"gasoline direct injection, DOHC, intercooled turbo, premi",4,Gasoline,11.0,8-Speed A/T,Four-wheel Drive,Sport S,4,Silver Zynith Clearcoat,Black
Jeep Grand Cherokee Limited,"Baltic Gray Metallic Clearcoat 2024 Jeep Grand Cherokee Limited 4WD 8-Speed Automatic 3.6L V6 24V VVT 4WD. 19/26 City/Highway MPGOur dealership is conveniently located for Bismarck, ND Buick, GMC drivers. If you are a Dickinson, ND Buick, GMC driver looking for quality new and used vehicle dealer, then visit Charbonneau Car Center. In addition to new and used sales, we offer convenient services like auto repair, parts, accessories, and more!",Grand Cherokee,SUV,New,2024,52115.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,24V MPFI DOHC,6,Gasoline,13.0,8-Speed Automatic,Four-wheel Drive,Limited,4,Metallic,Beige / Black
RAM ProMaster 3500 High Roof,"2024 Ram ProMaster 3500 High Roof FWD 9-Speed 948TE Automatic 3.6L V6 24V VVT Bright White Clearcoat Call our Sales department now! 630-241-5500 . Special financing is available in lieu of rebates. Price is good on in stock units and expires at the end of the month or when current incentives change. Zeigler price does not include tax, title, or license. Dealer is not responsible for pricing errors. Images may be stock factory photos and colors may vary. Please contact our sales department for more information.To View Details Click Window Sticker!
      
    Get great low prices on all of our cars, trucks, and SUV's at Zeigler Chrysler Dodge Jeep Ram of Downers Grove.",ProMaster 3500,Van,New,2024,53099.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe17976,24V MPFI DOHC,6,Gasoline,30.0,9-Speed Automatic,Front-wheel Drive,High Roof,3,Bright White Clearcoat,Black
Jeep Wrangler 4xe Sport,"2.0L I4 DOHC.Sport S 4xe2.0L I4 DOHC 8-Speed Automatic Price includes: $3000 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 06/03/2024For over 85 years, Carbone Auto Group is the name you know and the name you can trust.  At Carbone Chrysler, Dodge, Jeep, Ram of Yorkville the focus has remained the same.  Offer a full line of Award Winning Vehicles, Showcase Special purchase programs, Value for your trade-in, area leading service and parts with award winning customer services. Experience the Carbone difference today!",Wrangler 4xe,SUV,New,2024,53535.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,16V GDI DOHC Turbo Hybrid,4,Hybrid,4.0,8-Speed Automatic,Four-wheel Drive,Sport,4,Anvil Clearcoat,Black
Jeep Wrangler Rubicon,"Germain of Sidney is proud to Serve the Sidney, Piqua, Greenville, Covington, Troy, Russia, Fort Loramie, Anna, Columbus, Dayton, Wapakoneta. Serving Shelby, Miami, Darke, Franklin, County, Eastern Indiana surrounding areas. 45365, 43343, 45845, 45340, 45302, 45306 45388, 45367, 45356, 45865, 45333, 43070, 45360, 45318, 45388, 43072, 45351, 45374, 45380, 45860. We are a family owned and run business who does not stop at the sale. We will be with you the entire time you own your brand New Germain CDJR for all of your wants and needs.2024 Wrangler Jeep Rubicon Granite Crystal Metallic Clearcoat 4WD 8-Speed Automatic 3.6L V6 24V VVTWe are located along I-75, just 40 miles north of Dayton. Find out why Germain of Sidney is a top rated dealer in the Upper Miami Valley serving Sidney, Piqua and Troy. Beavercreek, Fairborn, Urbana, Vandalia, Dayton, Columbus.",Wrangler,SUV,New,2024,60972.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6,Gasoline,12.0,Automatic,Four-wheel Drive,Rubicon,4,Granite Crystal Metallic Clearcoat,Black
Jeep Gladiator Rubicon,"Summary:  Home of the Limited Lifetime Powertrain Warranty  Vehicle Details: Introducing the highly anticipated 2023 Jeep Gladiator Rubicon, the ultimate off-road warrior designed to conquer any terrain with unrivaled power and performance. This exceptional midsize pickup truck boasts a robust V6, 3.6L engine that delivers breathtaking horsepower and torque, ensuring an exhilarating driving experience every time you hit the road. Equipped with a state-of-the-art 4WD system, the Gladiator Rubicon effortlessly tackles challenging landscapes, making it the perfect companion for off-road enthusiasts. Packed with cutting-edge features, this vehicle offers an array of technological advancements that enhance both convenience and safety. The Navigation system provides seamless guidance, allowing you to explore new destinations with confidence, while the Back-Up Camera ensures effortless parking and maneuvering in tight spaces. Experience utmost comfort and convenience inside the spacious cabin, thanks to the Automatic Climate Control system that guarantees a pleasant environment regardless of the weather outside. The inclusion of Apple CarPlay enables seamless integration with your compatible iOS device, granting you access to your favorite apps, music, and messages, all with a simple touch. With its robust Off-Road Package, the Gladiator Rubicon is engineered to tackle the toughest trails. From its heavy-duty suspension to its protective skid plates, this remarkable vehicle is built to withstand and overcome any obstacles in its path. Don't miss the opportunity to own the extraordinary 2023 Jeep Gladiator Rubicon. Visit our dealership today and experience the pinnacle of off-road adventure firsthand. Equipment: See what's behind you with the back up camera on this model. This unit offers Android Auto for seamless smartphone integration. with XM/Sirus Satellite Radio you are no longer restricted by poor quality local radio stations while driving this Jeep Gladiator. Anywhere on the planet, you will have hundreds of digital stations to choose from. Never get into a cold vehicle again with the remote start feature on the vehicle. The leather seats in this unit are a must for buyers looking for comfort, durability, and style. Apple CarPlay: Seamless smartphone integration for this 2023 Jeep Gladiator - stay connected and entertained on the go! This unit is pure luxury with a heated steering wheel. Bluetooth technology is built into the vehicle, keeping your hands on the steering wheel and your focus on the road. An off-road package is installed on the Jeep Gladiator so you are ready for your four-wheeling best.",Gladiator,Pickup Truck,New,2023,53796.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17973,24V MPFI DOHC,6,Gasoline,0.0,8-Speed Automatic,Four-wheel Drive,Rubicon,4,High Velocity Clearcoat,Black
Volkswagen Taos 1.5T S,"Silver Price includes: $1500 - May-June 2024 Retail Customer Bonus. Exp. 07/01/2024Don Thornton VW of Tulsa provides a professional, informative and convenient online shopping experience- Assisting our clients to make an informed buying decision by partnering with them to find the right vehicle that will meet their needs and lifestyle for years to come. Our sales consultants exhibit the most ethical and moral business practices in automotive industry.  Experience the difference.",Taos,SUV,New,2024,25311.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797b,16V GDI DOHC Turbo,4,Gasoline,9.0,7-Speed DSGA? Automatic w/ 4MO,All-wheel Drive,1.5T S,4,Pyrite Silver Metallic,Black
INFINITI QX50 LUXE,"Vaden is pleased to offer 2024 INFINITI QX50 LUXE in Slate Gray, Beautifully equipped with all the essentials and then some! FWD CVT I423/29 City/Highway MPGAccent Package, 4-Wheel Disc Brakes, 5.846 Axle Ratio, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Bose 12-Speaker Premium Audio, Brake assist, Bumpers: body-color, CD player, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: INFINITI InTouch (1-year complimentary trial), Exterior Parking Camera Rear, Floor Mats, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Illuminated Kick Plates, Knee airbag, Leather Shift Knob, Leather steering wheel, Leather-Appointed Seat Trim, Literature Kit, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power Liftgate, Power moonroof, Power passenger seat, Power steering, Power windows, Radio data system, Radio: HD Audio System, Rear anti-roll bar, Rear Parking Sensors, Rear reading lights, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Rear window wiper, Remote keyless entry, Roof rack: rails only, Security system, Special Paint - Slate Gray, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Splash Guards (Set of 4), Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, and Wheels: 19' Silver Painted Aluminum Alloy. Price includes: $1000 - Retail Cash. Exp. 06/03/2024",QX50,SUV,New,2024,48350.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17989,"o 2L I-4 port/direct injection, DOHC, variable valve cont",4,Gasoline,3.0,Variable,Front-wheel Drive,LUXE,4,Slate Gray,Pebble Gray
Nissan Versa 1.6 SV,"Sansone Jr's Windsor Nissan 590 US 130, East Windsor, NJ, Versa 1.6 SV, 4D Sedan, 1.6L I4 DOHC 16V, CVT, FWD, Aspen White Tricoat, Graphite Cloth, Apple CarPlay/Android Auto, Shopping Bag Hooks, Trunk Net, Trunk Package. 2024 Nissan Versa 1.6 SV FWD CVT 1.6L I4 DOHC 16V Aspen White Tricoat Recent Arrival!
      
    All finance applications accepted at our family owned and operated Nissan dealership in East Windsor, New Jersey. Sansone Jr's Windsor Nissan is committed to enhancing and enriching the customer experience each day. We are dedicated to our customers and employees by creating a friendly environment for all. Sansone Jr's Windsor Nissan is located just minutes off of Exit 8 of the NJ Turnpike.",Versa,Sedan,New,2024,21000.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe17977,16V MPFI DOHC,4,Gasoline,9.0,Automatic CVT,Front-wheel Drive,1.6 SV,4,Aspen White,Graphite
Mercedes-Benz AMG GLE 53 Base,"Navigation, Sunroof, Heated Leather Seats, Full-Time 4MATIC® All-Wheel, Alloy Wheels, WINTER PACKAGE, AMG® PERFORMANCE STEERING WHEEL IN NA... DRIVER ASSISTANCE PACKAGE PLUS, Panoramic Roof. Twilight Blue Metallic exterior.KEY FEATURES INCLUDELeather Seats, Navigation, Sunroof, Panoramic Roof, Full-Time 4MATIC® All-WheelOPTION PACKAGESDRIVER ASSISTANCE PACKAGE PLUS Route-Based Speed Adaptation, Active Emergency Stop Assist, Active Brake Assist w/Cross-Traffic Function, Active Stop & Go Assist, Active Lane Keeping Assist, Active Blind Spot Assist, PRESAFE® PLUS Rear Collision Protection, Active Distance Assist DISTRONIC®, Active Steering Assist, Evasive Steering Assist, Active Speed Limit Assist, Traffic Sign Assist, Active Lane Change Assist, AMG® PERFORMANCE STEERING WHEEL IN NAPPA/MICROFIBER sporty 3-spoke design w/flattened bottom section, combined version in Nappa leather w/microfiber in the grip area, 12-oclock marking and topstitching, horizontal twin spokes in high-gloss black, vertical twin spokes in chrome w/AMG® lettering and shift paddles, WINTER PACKAGE Heated Washer System, Heated Steering Wheel.Bluetooth® is a registered mark of Bluetooth® SIG, Inc. and Burmester® is a registered trademark of Burmester® Audiosysteme GmbH, Berlin, Germany. Please confirm the accuracy of the included equipment by calling us prior to purchase.
      
    It is my personal commitment to see that all of your expectations are not only metbut exceeded. I believe you'll see and experience it the minute you step foot in our beautiful facility. In fact, if you're not happy with us for any reason, I invite you to call me, personally. I guarantee to make it right and make you happy. Nate Cartwright, GM",AMG GLE 53,SUV,New,2024,90995.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17985,24V GDI DOHC Turbo,6,Gasoline,10.0,9-Speed Automatic,All-wheel Drive,Base,4,Blue,Black
Mazda CX-90 PHEV Premium,"Luther Brookdale Mazda is very proud to offer this fantastic 2024 Mazda CX-90 PHEV Premium in Rhodium White Premium Beautifully equipped with 12 Speakers, 3rd row seats: bench, 4-Wheel Disc Brakes, 4.444 Axle Ratio, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Brake assist, Bumpers: body-color, Compass, Cruise Control, Delay-off headlights, Destination Set, Digital Rear View Mirror w/HomeLink, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, E911 Automatic Emergency Notification, Electronic Stability Control, Emergency communication system: MAZDA CONNECT, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front dual zone A/C, Front reading lights, Fully automatic headlights, Garage door transmitter: HomeLink, Heads-Up Display, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Infotainment System Voice Command, Knee airbag, Leather Seat Trim, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Mazda Connected Services, Mazda Navigation System, Memory seat, Navigation system: MAZDA CONNECT, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Pandora Internet Radio Integration, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power Liftgate, Power moonroof, Power passenger seat, Power steering, Power windows, Radio Broadcast Data System Program Information, Radio data system, Radio: AM/FM w/HD/Bose 12-Speaker Audio System, Rain sensing wipers, Rear air conditioning, Rear anti-roll bar, Rear reading lights, Rear window defroster, Rear window wiper, Remote keyless entry, Rhodium White Premium Paint Charge, Roof rack: rails only, SMS Text Msg Audio Delivery & Reply, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, and Wheels: 21 x 9.5J Aluminum Alloy!2024 Mazda CX-90 PHEV PremiumLUTHER MAZDA CARE = 4 OIL CHANGES UP TO 2 YEARS The Luther Advantage is a comprehensive package of benefits designed to make purchasing and owning a vehicle from a Luther dealership a pleasant and convenient experience. It includes:Gasoline discounts, Car wash discounts, Specials on collision and repairs, Specials on glass repair, Email reminders and notifications.
      
    The Luther Advantage provides an assortment of valuable savings, advantages and guarantees. Prices Clearly Marked, Top Trade-in Values, Free Carfax and Clean Title Guarantee on every Used Vehicle, Comprehensive Inspections and Extended Warranty on Used Vehicles. Ask your sales consultant today if your vehicle qualifies for the Luther Advantage!",CX-90 PHEV,SUV,New,2024,56079.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797e,16V GDI DOHC Hybrid,4,Hybrid,0.0,8-Speed Automatic,All-wheel Drive,Premium,4,Rhodium White Metallic,Black
